t,f
0.000000000000000,0.000000000000000
0.031250000000000,0.000000903989267
0.044194173824159,0.000001808053497
0.062500000000000,0.000003616498540
0.088388347648318,0.000007235367499
0.125000000000000,0.000014486850912
0.176776695296637,0.000029091677790
0.250000000000000,0.000059079007143
0.353553390593274,0.000124936812969
0.500000000000000,0.000297700387818
0.707106781186547,0.000893843230956
1.000000000000000,0.003740273180707
1.414213562373095,0.022241990070724
2.000000000000000,0.117570708493500
2.828427124746190,0.433249513566580
4.000000000000000,1.156296255282175
5.000000000000000,2.544003057777709
6.000000000000000,5.786127330429077
