t,f
0.000000000000000,0.000000000000000
0.031250000000000,0.000000000010406
0.044194173824159,0.000000000020835
0.062500000000000,0.000000000041756
0.088388347648318,0.000000000083849
0.125000000000000,0.000000000169031
0.176776695296637,0.000000000343363
0.250000000000000,0.000000000707879
0.353553390593274,0.000000001500669
0.500000000000000,0.000000003344933
0.707106781186547,0.000000008083415
1.000000000000000,0.000000021547502
1.414213562373095,0.000000061186376
2.000000000000000,0.000000694871038
2.828427124746190,0.000018567822970
4.000000000000000,0.000137638090770
5.000000000000000,0.000317370353382
6.000000000000000,0.000655081188250
