t,f
0.000000000000000,0.000000000000000
0.031250000000000,0.000001305553288
0.044194173824159,0.000002611115911
0.062500000000000,0.000005222324254
0.088388347648318,0.000010445637807
0.125000000000000,0.000020900700842
0.176776695296637,0.000041884278988
0.250000000000000,0.000084462905116
0.353553390593274,0.000174505999460
0.500000000000000,0.000390744505454
0.707106781186547,0.001081898219067
1.000000000000000,0.004841166167182
1.414213562373095,0.031841340450345
2.000000000000000,0.168500341702514
2.828427124746190,4.013848820597341
4.000000000000000,12.988633467308684
5.000000000000000,17.155361731935010
6.000000000000000,20.122404500274442
