t,f
0.000000000000000,0.000000000000000
0.031250000000000,0.000000141490751
0.044194173824159,0.000000282688236
0.062500000000000,0.000000564975745
0.088388347648318,0.000001129431981
0.125000000000000,0.000002258309031
0.176776695296637,0.000004516547784
0.250000000000000,0.000009035890606
0.353553390593274,0.000018087706894
0.500000000000000,0.000036249790370
0.707106781186547,0.000072799752738
1.000000000000000,0.000145559628087
1.414213562373095,0.000280060269908
2.000000000000000,0.000348576321700
2.828427124746190,0.000648437655432
4.000000000000000,0.005227953240702
5.000000000000000,0.010138880034606
6.000000000000000,0.011657017266155
