t,f
0.000000000000000,0.000000000000000
0.031250000000000,0.000002893580042
0.044194173824159,0.000005713702458
0.062500000000000,0.000011353997651
0.088388347648318,0.000022635496428
0.125000000000000,0.000045200845434
0.176776695296637,0.000090337984856
0.250000000000000,0.000180633352930
0.353553390593274,0.000361302360991
0.500000000000000,0.000722952359489
0.707106781186547,0.001447039600202
1.000000000000000,0.002890822176075
1.414213562373095,0.005734593093911
2.000000000000000,0.011093943459231
2.828427124746190,0.020402595899221
4.000000000000000,0.035182457580751
5.000000000000000,0.048467219330887
6.000000000000000,0.062857201551269
