t,f
0.000000000000000,0.000000000000000
0.031250000000000,0.000039701790791
0.044194173824159,0.000079403509134
0.062500000000000,0.000158806727631
0.088388347648318,0.000317612290328
0.125000000000000,0.000635219914242
0.176776695296637,0.001270421144440
0.250000000000000,0.002540767504877
0.353553390593274,0.005081235772860
0.500000000000000,0.010161274532930
0.707106781186547,0.020317610512732
1.000000000000000,0.040611882954111
1.414213562373095,0.081133503763563
2.000000000000000,0.162163664821389
2.828427124746190,0.325719080709003
4.000000000000000,0.657035932552260
5.000000000000000,1.030779477664562
6.000000000000000,1.488667450518803
