t,f
0.000000000000000,0.000000000000000
0.031250000000000,0.000000065629784
0.044194173824159,0.000000130366015
0.062500000000000,0.000000259468022
0.088388347648318,0.000000517147142
0.125000000000000,0.000001031759126
0.176776695296637,0.000002059912006
0.250000000000000,0.000004114640473
0.353553390593274,0.000008221618473
0.500000000000000,0.000016431087244
0.707106781186547,0.000032839085967
1.000000000000000,0.000065672990948
1.414213562373095,0.000131551363212
2.000000000000000,0.000258322944737
2.828427124746190,0.000472684522830
4.000000000000000,0.000807355129049
5.000000000000000,0.001190497617217
6.000000000000000,0.001767096499210
