t,f
0.000000000000000,0.000000000000000
0.031250000000000,0.000000000001654
0.044194173824159,0.000000000003311
0.062500000000000,0.000000000006637
0.088388347648318,0.000000000013328
0.125000000000000,0.000000000026872
0.176776695296637,0.000000000054594
0.250000000000000,0.000000000112557
0.353553390593274,0.000000000238508
0.500000000000000,0.000000000530356
0.707106781186547,0.000000001273289
1.000000000000000,0.000000003396485
1.414213562373095,0.000000010226472
2.000000000000000,0.000000033829843
2.828427124746190,0.000000113432143
4.000000000000000,0.000000361338873
5.000000000000000,0.000000764257088
6.000000000000000,0.000001515345976
